cluster	loglr	df	p	FDR	genes	N	annotation	intron	logef	LowGrade_Cartilage	HighGrade_Cartilage	deltapsi	ensemblID	chr	start	end	verdict	transcripts
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100795003:100795804:clu_60891_-	0.61314344	0.00612454	0.01240024	0.0062757	ENSG00000154175	chr3	100795003	100795804	annotated	ENST00000527943
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100795003:100796409:clu_60891_-	-0.3227665	0.13620462	0.10816535	-0.0280393	ENSG00000154175	chr3	100795003	100796409	annotated	ENST00000284322+ENST00000466947+ENST00000471714+ENST00000471901+ENST00000486770+ENST00000487012+ENST00000495591+ENST00000527943
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100795003:100804792:clu_60891_-	-0.5138887	0.07441964	0.04881806	-0.0256016	ENSG00000154175	chr3	100795003	100804792	annotated	ENST00000284322+ENST00000466947+ENST00000470336+ENST00000471714+ENST00000471901+ENST00000478235+ENST00000482765+ENST00000486770+ENST00000487012+ENST00000495591+ENST00000497395+ENST00000527943
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100795003:100846372:clu_60891_-	-0.4237046	0.01118431	0.00802913	-0.0031552	ENSG00000154175	chr3	100795003	100846372	novel annotated pair	ENST00000284322+ENST00000466947+ENST00000470336+ENST00000471714+ENST00000486770+ENST00000495591
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100795851:100796409:clu_60891_-	0.6100842	0.00544297	0.01098662	0.00554365	ENSG00000154175	chr3	100795851	100796409	annotated	ENST00000527943
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100796468:100804792:clu_60891_-	-0.3023928	0.15662003	0.12693803	-0.029682	ENSG00000154175	chr3	100796468	100804792	annotated	ENST00000284322+ENST00000466947+ENST00000471714+ENST00000471901+ENST00000486770+ENST00000487012+ENST00000495591+ENST00000527943
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100808235:100810412:clu_60891_-	0.2099912	0.05526998	0.0747755	0.01950552	ENSG00000154175	chr3	100808235	100810412	annotated	ENST00000471714+ENST00000482765+ENST00000495591+ENST00000527943
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100808235:100824858:clu_60891_-	-0.5562749	0.02059361	0.01294844	-0.0076452	ENSG00000154175	chr3	100808235	100824858	annotated	ENST00000471714+ENST00000471901+ENST00000478235+ENST00000487012+ENST00000495591
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100808235:100832264:clu_60891_-	-0.4694265	0.03670164	0.02517029	-0.0115314	ENSG00000154175	chr3	100808235	100832264	annotated	ENST00000466947+ENST00000471714+ENST00000471901+ENST00000478235+ENST00000486770+ENST00000487012+ENST00000495591+ENST00000533795
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100808235:100846372:clu_60891_-	-0.5228948	0.11979023	0.0778759	-0.0419143	ENSG00000154175	chr3	100808235	100846372	annotated	ENST00000284322+ENST00000466947+ENST00000470336+ENST00000471714+ENST00000486770+ENST00000495591
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100823514:100824858:clu_60891_-	0.29143717	0.04830202	0.07089358	0.02259155	ENSG00000154175	chr3	100823514	100824858	annotated	ENST00000471714+ENST00000471901+ENST00000487012+ENST00000495063+ENST00000495591
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100828452:100829581:clu_60891_-	0.39633185	0.02152505	0.03508657	0.01356152	ENSG00000154175	chr3	100828452	100829581	annotated	ENST00000471714+ENST00000478235+ENST00000528490
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100828452:100832264:clu_60891_-	0.08209947	0.00738788	0.00879523	0.00140735	ENSG00000154175	chr3	100828452	100832264	novel annotated pair	ENST00000471714+ENST00000478235+ENST00000495591+ENST00000528490
