idType	GeneID	ID	geneSymbol	chr	strand	spliceType	eventRegion	altExon	IncLevel1	IncLevel2	IncLevelDifference	PValue	FDR	novel	pctR10	pctR20	statJCmin	aseType	geneBiotype	transcriptNameExon	inTranscriptId	inTranscriptName	inTranscriptBiotype	outTranscriptId	outTranscriptName	outTranscriptBiotype
ABCA5_SE_5592	ENSG00000154265.11	5592	ABCA5	chr17	-	SE	67246612:67246762-67247887:67248007-67249713:67249808	67247887:67248007	0.492	0.316	0.176	0.000126404	0.007190454	known	1	1	20	NPC_SISO	protein_coding	ABCA5-001( E35 ),ABCA5-007( E21 ),ABCA5-004( E34 ),ABCA5-008( E14 ),ABCA5-201( E35 )	ENST00000392676.3,ENST00000392677.2,ENST00000586811.1,ENST00000588877.1,ENST00000591234.1	ABCA5-001,ABCA5-201,ABCA5-008,ABCA5-004,ABCA5-007	protein_coding,protein_coding,protein_coding,protein_coding,nonsense_mediated_decay	ENST00000586995.1	ABCA5-006	nonsense_mediated_decay
ABCA5_SE_5601	ENSG00000154265.11	5601	ABCA5	chr17	-	SE	67280093:67280213-67281528:67281561-67282038:67282178	67281528:67281561	0.241	0.359	-0.118	0.000988823	0.042929137	known	1	0.8	20	PC_SO_NPC_SI	protein_coding	ABCA5-007( E3 ),ABCA5-006( E11 )	ENST00000586995.1,ENST00000591234.1	ABCA5-006,ABCA5-007	nonsense_mediated_decay,nonsense_mediated_decay	ENST00000392676.3,ENST00000392677.2,ENST00000588877.1,ENST00000593153.1	ABCA5-001,ABCA5-201,ABCA5-004,ABCA5-003	protein_coding,protein_coding,protein_coding,protein_coding
ABCA5_SE_61329	ENSG00000154265.11	61329	ABCA5	chr17	-	SE	67246612:67246762-67247916:67248007-67249713:67249808	67247916:67248007	0.385	0.235	0.15	0.000558612	0.026522223	novel	1	0.9	20	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000586995.1	ABCA5-006	nonsense_mediated_decay
ABCA5_SE_61340	ENSG00000154265.11	61340	ABCA5	chr17	-	SE	67290795:67290854-67291268:67291342-67293331:67293500	67291268:67291342	0.036	0.15	-0.114	9.74887E-13	4.19882E-10	novel	1	0.8	14	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000392676.3,ENST00000392677.2,ENST00000586995.1,ENST00000588877.1,ENST00000593153.1	ABCA5-001,ABCA5-201,ABCA5-006,ABCA5-004,ABCA5-003	protein_coding,protein_coding,nonsense_mediated_decay,protein_coding,protein_coding
ABCA5_SE_61341	ENSG00000154265.11	61341	ABCA5	chr17	-	SE	67290795:67290854-67291268:67291512-67293331:67293500	67291268:67291512	0.033	0.134	-0.101	1.81855E-12	7.20356E-10	novel	1	0.8	13	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000392676.3,ENST00000392677.2,ENST00000586995.1,ENST00000588877.1,ENST00000593153.1	ABCA5-001,ABCA5-201,ABCA5-006,ABCA5-004,ABCA5-003	protein_coding,protein_coding,nonsense_mediated_decay,protein_coding,protein_coding
ABI3BP_MXE_6452	ENSG00000154175.12	6452	ABI3BP	chr3	-	MXE	100566445:100566517-100567644:100567719-100568843:100568963-100569503:100569578	100567644:100567719-100568843:100568963	0.411	0.247	0.165	4.86215E-06	0.000532563	novel	1	1	18	NA_SISO	protein_coding	ABI3BP-027( E7 ),ABI3BP-002( E18 ),ABI3BP-001( E16 ),ABI3BP-006( E18 )	NA	NA	NA	NA	NA	NA
ABI3BP_SE_18718	ENSG00000154175.12	18718	ABI3BP	chr3	-	SE	100567644:100567719-100568888:100568963-100581154:100581229	100568888:100568963	0.854	0.462	0.391	2.24053E-11	6.6081E-09	known	1	0.7	15	NA_SISO	protein_coding	ABI3BP-006( E17 ),ABI3BP-001( E15 ),ABI3BP-027( E6 ),ABI3BP-002( E17 ),ABI3BP-011( E4 )	NA	NA	NA	NA	NA	NA
ABI3BP_SE_18720	ENSG00000154175.12	18720	ABI3BP	chr3	-	SE	100567644:100567719-100568888:100568963-100585722:100585764	100568888:100568963	0.907	0.629	0.278	4.30782E-09	7.7154E-07	known	0.9	0.55	8	NA_SISO	protein_coding	ABI3BP-006( E17 ),ABI3BP-001( E15 ),ABI3BP-027( E6 ),ABI3BP-002( E17 ),ABI3BP-011( E4 )	NA	NA	NA	NA	NA	NA
ABI3BP_SE_18723	ENSG00000154175.12	18723	ABI3BP	chr3	-	SE	100568888:100568963-100569503:100569578-100581154:100581229	100569503:100569578	0.97	0.807	0.163	2.08815E-05	0.001508916	known	0.85	0.45	2	NA_SO	protein_coding	ABI3BP-011( E3 ),ABI3BP-006( E16 ),ABI3BP-001( E14 ),ABI3BP-002( E16 ),ABI3BP-027( E5 )	ENST00000459682.1	ABI3BP-011	protein_coding	NA	NA	NA
ABI3BP_SE_18739	ENSG00000154175.12	18739	ABI3BP	chr3	-	SE	100581154:100581229-100581681:100581753-100585722:100585800	100581681:100581753	0.478	0.2	0.278	0.000993505	0.043093466	known	0.8	0.3	11	NA_SISO	protein_coding	ABI3BP-006( E13 ),ABI3BP-002( E13 ),ABI3BP-029( E3 )	NA	NA	NA	NA	NA	NA
